# MIDI File: MIDI-Viva la vida.mid
# Tempo: 120.0 BPM
# Duration: 262.77 seconds
# Total Notes: 2579
# Tracks: 2

# Format: TIME_SEC | NOTE | DURATION | VELOCITY
# ==================================================

  11.250 | G#3  | 0.236s | vel= 80
  11.250 | D#3  | 0.236s | vel= 80
  11.750 | C5   | 0.236s | vel= 80
  11.750 | G#4  | 0.236s | vel= 80
  11.750 | C4   | 0.236s | vel= 80
  11.750 | G#3  | 0.236s | vel= 80
  11.750 | D#3  | 0.236s | vel= 80
  12.250 | C5   | 0.236s | vel= 80
  12.250 | G#4  | 0.236s | vel= 80
  12.250 | C4   | 0.236s | vel= 80
  12.250 | G#3  | 0.236s | vel= 80
  12.250 | D#3  | 0.236s | vel= 80
  12.750 | C5   | 0.236s | vel= 80
  12.750 | G#4  | 0.236s | vel= 80
  12.750 | C4   | 0.236s | vel= 80
  12.750 | G#3  | 0.236s | vel= 80
  12.750 | D#3  | 0.236s | vel= 80
  13.000 | C5   | 0.236s | vel= 80
  13.000 | G#4  | 0.236s | vel= 80
  13.000 | C4   | 0.236s | vel= 80
  13.000 | G#3  | 0.236s | vel= 80
  13.000 | F3   | 0.236s | vel= 80
  13.500 | C5   | 0.236s | vel= 80
  13.500 | G#4  | 0.236s | vel= 80
  13.500 | C4   | 0.236s | vel= 80
  13.500 | G#3  | 0.236s | vel= 80
  13.500 | F3   | 0.474s | vel= 80
  13.750 | C5   | 0.236s | vel= 80
  13.750 | C4   | 0.236s | vel= 80
  13.750 | G#3  | 0.236s | vel= 80
  14.000 | C5   | 0.250s | vel= 80
  14.000 | C4   | 0.236s | vel= 80
  14.000 | G#3  | 0.236s | vel= 80
  14.000 | F3   | 0.474s | vel= 80
  14.250 | C5   | 0.474s | vel= 80
  14.250 | C4   | 0.236s | vel= 80
  14.250 | G#3  | 0.236s | vel= 80
  14.750 | C5   | 1.424s | vel= 80
  14.750 | C#4  | 0.236s | vel= 80
  14.750 | G#3  | 0.236s | vel= 80
  14.750 | C#3  | 0.236s | vel= 80
  15.250 | C#4  | 0.236s | vel= 80
  15.250 | G#3  | 0.236s | vel= 80
  15.250 | C#3  | 0.236s | vel= 80
  15.750 | C#4  | 0.236s | vel= 80
  15.750 | G#3  | 0.236s | vel= 80
  15.750 | C#3  | 0.236s | vel= 80
  16.250 | C#5  | 0.236s | vel= 80
  16.250 | C#4  | 0.236s | vel= 80
  16.250 | G#3  | 0.236s | vel= 80
  16.250 | C#3  | 0.236s | vel= 80
  16.500 | A#4  | 1.186s | vel= 80
  16.500 | D#4  | 0.236s | vel= 80
  16.500 | A#3  | 0.236s | vel= 80
  16.500 | D#3  | 0.236s | vel= 80
  17.000 | D#4  | 0.236s | vel= 80
  17.000 | A#3  | 0.236s | vel= 80
  17.000 | D#3  | 0.236s | vel= 80
  17.500 | D#4  | 0.236s | vel= 80
  17.500 | A#3  | 0.236s | vel= 80
  17.500 | D#3  | 0.236s | vel= 80
  17.750 | D#4  | 0.236s | vel= 80
  17.750 | A#3  | 0.236s | vel= 80
  17.750 | D#3  | 0.236s | vel= 80
  18.000 | A#4  | 0.474s | vel= 80
  18.250 | D#4  | 0.236s | vel= 80
  18.250 | A#3  | 0.236s | vel= 80
  18.250 | D#3  | 0.236s | vel= 80
  18.500 | G#4  | 0.236s | vel= 80
